sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2001,02,4
1,CAMILLE,2001,13,13
1,CAMILLE,2001,14,6
1,CAMILLE,2001,16,3
1,CAMILLE,2001,17,5
1,CAMILLE,2001,21,7
1,CAMILLE,2001,25,6
1,CAMILLE,2001,28,3
1,CAMILLE,2001,30,6
1,CAMILLE,2001,31,6
1,CAMILLE,2001,33,8
1,CAMILLE,2001,34,5
1,CAMILLE,2001,35,4
1,CAMILLE,2001,38,10
1,CAMILLE,2001,42,7
1,CAMILLE,2001,44,9
1,CAMILLE,2001,49,3
1,CAMILLE,2001,51,7
1,CAMILLE,2001,53,3
1,CAMILLE,2001,54,5
1,CAMILLE,2001,56,5
1,CAMILLE,2001,57,3
1,CAMILLE,2001,58,3
1,CAMILLE,2001,59,13
1,CAMILLE,2001,60,7
1,CAMILLE,2001,61,4
1,CAMILLE,2001,62,8
1,CAMILLE,2001,63,7
1,CAMILLE,2001,64,3
1,CAMILLE,2001,65,3
1,CAMILLE,2001,67,3
1,CAMILLE,2001,69,15
1,CAMILLE,2001,73,4
1,CAMILLE,2001,74,4
1,CAMILLE,2001,75,22
1,CAMILLE,2001,76,3
1,CAMILLE,2001,77,8
1,CAMILLE,2001,78,4
1,CAMILLE,2001,79,3
1,CAMILLE,2001,80,11
1,CAMILLE,2001,81,3
1,CAMILLE,2001,83,5
1,CAMILLE,2001,84,4
1,CAMILLE,2001,87,3
1,CAMILLE,2001,90,3
1,CAMILLE,2001,91,6
1,CAMILLE,2001,92,6
1,CAMILLE,2001,93,8
1,CAMILLE,2001,95,6
1,CAMILLE,2001,974,8
1,CAMILLE,2002,01,5
1,CAMILLE,2002,06,4
1,CAMILLE,2002,07,4
1,CAMILLE,2002,13,10
1,CAMILLE,2002,14,5
1,CAMILLE,2002,18,3
1,CAMILLE,2002,20,3
1,CAMILLE,2002,21,3
1,CAMILLE,2002,25,3
1,CAMILLE,2002,27,3
1,CAMILLE,2002,28,3
1,CAMILLE,2002,29,7
1,CAMILLE,2002,30,3
1,CAMILLE,2002,31,4
1,CAMILLE,2002,33,5
1,CAMILLE,2002,34,5
1,CAMILLE,2002,35,4
1,CAMILLE,2002,37,3
1,CAMILLE,2002,38,11
1,CAMILLE,2002,42,4
1,CAMILLE,2002,44,14
1,CAMILLE,2002,49,8
1,CAMILLE,2002,50,3
1,CAMILLE,2002,51,7
1,CAMILLE,2002,54,7
1,CAMILLE,2002,57,5
1,CAMILLE,2002,59,12
1,CAMILLE,2002,62,7
1,CAMILLE,2002,63,6
1,CAMILLE,2002,64,4
1,CAMILLE,2002,68,3
1,CAMILLE,2002,69,10
1,CAMILLE,2002,71,5
1,CAMILLE,2002,72,5
1,CAMILLE,2002,74,4
1,CAMILLE,2002,75,13
1,CAMILLE,2002,76,11
1,CAMILLE,2002,78,12
1,CAMILLE,2002,79,5
1,CAMILLE,2002,80,5
1,CAMILLE,2002,83,4
1,CAMILLE,2002,85,4
1,CAMILLE,2002,86,3
1,CAMILLE,2002,87,4
1,CAMILLE,2002,89,3
1,CAMILLE,2002,91,3
1,CAMILLE,2002,92,11
1,CAMILLE,2002,93,3
1,CAMILLE,2002,94,6
1,CAMILLE,2002,95,3
1,CAMILLE,2002,974,5
1,CAMILLE,2003,02,5
1,CAMILLE,2003,03,3
1,CAMILLE,2003,06,7
1,CAMILLE,2003,07,6
1,CAMILLE,2003,08,4
1,CAMILLE,2003,11,5
1,CAMILLE,2003,12,3
1,CAMILLE,2003,13,10
1,CAMILLE,2003,14,3
1,CAMILLE,2003,25,3
1,CAMILLE,2003,29,3
1,CAMILLE,2003,30,5
1,CAMILLE,2003,31,3
1,CAMILLE,2003,33,9
1,CAMILLE,2003,35,5
1,CAMILLE,2003,37,7
1,CAMILLE,2003,38,9
1,CAMILLE,2003,41,4
1,CAMILLE,2003,42,6
1,CAMILLE,2003,44,7
1,CAMILLE,2003,45,4
1,CAMILLE,2003,49,7
1,CAMILLE,2003,50,3
1,CAMILLE,2003,51,5
1,CAMILLE,2003,53,5
1,CAMILLE,2003,54,4
1,CAMILLE,2003,56,4
1,CAMILLE,2003,57,3
1,CAMILLE,2003,59,7
1,CAMILLE,2003,62,7
1,CAMILLE,2003,63,3
1,CAMILLE,2003,69,10
1,CAMILLE,2003,71,8
1,CAMILLE,2003,72,8
1,CAMILLE,2003,73,3
1,CAMILLE,2003,74,4
1,CAMILLE,2003,75,24
1,CAMILLE,2003,76,5
1,CAMILLE,2003,77,6
1,CAMILLE,2003,78,7
1,CAMILLE,2003,79,3
1,CAMILLE,2003,80,4
1,CAMILLE,2003,83,7
1,CAMILLE,2003,84,5
1,CAMILLE,2003,85,5
1,CAMILLE,2003,86,4
1,CAMILLE,2003,89,3
1,CAMILLE,2003,91,5
1,CAMILLE,2003,92,7
1,CAMILLE,2003,93,6
1,CAMILLE,2003,94,7
1,CAMILLE,2003,95,4
1,CAMILLE,2003,974,3
1,CAMILLE,2004,01,3
1,CAMILLE,2004,03,6
1,CAMILLE,2004,06,4
1,CAMILLE,2004,07,5
1,CAMILLE,2004,11,3
1,CAMILLE,2004,13,15
1,CAMILLE,2004,14,4
1,CAMILLE,2004,16,6
1,CAMILLE,2004,17,5
1,CAMILLE,2004,18,3
1,CAMILLE,2004,20,4
1,CAMILLE,2004,21,9
1,CAMILLE,2004,22,6
1,CAMILLE,2004,26,3
1,CAMILLE,2004,28,3
1,CAMILLE,2004,29,4
1,CAMILLE,2004,31,10
1,CAMILLE,2004,33,4
1,CAMILLE,2004,34,5
1,CAMILLE,2004,35,10
1,CAMILLE,2004,37,3
1,CAMILLE,2004,38,10
1,CAMILLE,2004,42,7
1,CAMILLE,2004,44,6
1,CAMILLE,2004,49,9
1,CAMILLE,2004,51,5
1,CAMILLE,2004,53,3
1,CAMILLE,2004,54,4
1,CAMILLE,2004,56,9
1,CAMILLE,2004,57,3
1,CAMILLE,2004,58,3
1,CAMILLE,2004,59,12
