TRAGE_12;CE;SEXE;CS1;BRUT_EQTP;EQTP
TT;T;E;T;39851;16468392
TT;T;E;3;69279;3691795
TT;T;E;4;39137;3390884
TT;T;E;5;28071;4366097
TT;T;E;6N;24767;1488159
TT;T;E;6Q;30693;3531456
TT;T;H;T;42373;9637738
TT;T;H;3;73454;2334449
TT;T;H;4;41380;1811760
TT;T;H;5;28907;1366460
TT;T;H;6N;25460;995224
TT;T;H;6Q;31022;3129844
TT;T;F;T;36292;6830654
TT;T;F;3;62097;1357346
TT;T;F;4;36564;1579124
TT;T;F;5;27690;2999637
TT;T;F;6N;23369;492935
TT;T;F;6Q;28129;401612
TT;C;E;T;41010;14014081
TT;C;E;3;70084;3280475
TT;C;E;4;39506;3019203
TT;C;E;5;28855;3348841
TT;C;E;6N;25365;1133551
TT;C;E;6Q;30986;3232013
TT;C;H;T;42941;8692005
TT;C;H;3;74148;2104484
TT;C;H;4;41575;1706483
TT;C;H;5;29575;1162393
TT;C;H;6N;25882;825309
TT;C;H;6Q;31282;2893336
TT;C;F;T;37857;5322077
TT;C;F;3;62812;1175990
TT;C;F;4;36816;1312720
TT;C;F;5;28472;2186448
TT;C;F;6N;23980;308241
TT;C;F;6Q;28450;338677
TT;N;E;T;33233;2454311
TT;N;E;3;62854;411321
TT;N;E;4;36138;371682
TT;N;E;5;25488;1017257
TT;N;E;6N;22857;354608
TT;N;E;6Q;27533;299443
TT;N;H;T;37153;945733
TT;N;H;3;67104;229965
TT;N;H;4;38206;105278
TT;N;H;5;25102;204067
TT;N;H;6N;23410;169915
TT;N;H;6Q;27834;236509
TT;N;F;T;30775;1508578
TT;N;F;3;57466;181356
TT;N;F;4;35321;266404
TT;N;F;5;25585;813190
TT;N;F;6N;22348;184693
TT;N;F;6Q;26405;62935
17;T;E;T;22166;11258
17;T;E;3;57384;240
17;T;E;4;27685;783
17;T;E;5;21385;6371
17;T;E;6N;20578;2176
17;T;E;6Q;19596;1688
17;T;H;T;22363;6670
17;T;H;3;60575;133
17;T;H;4;33886;483
17;T;H;5;21305;2883
17;T;H;6N;20454;1697
17;T;H;6Q;19399;1474
17;T;F;T;21881;4588
17;T;F;3;53406;107
17;T;F;4;17683;300
17;T;F;5;21452;3488
17;T;F;6N;21017;479
17;T;F;6Q;20946;214
17;C;E;T;21279;6439
17;C;E;3;62628;68
17;C;E;4;26536;378
17;C;E;5;21200;2940
17;C;E;6N;20234;1668
17;C;E;6Q;19234;1385
17;C;H;T;21300;4292
17;C;H;3;66903;45
17;C;H;4;32681;223
17;C;H;5;21127;1420
17;C;H;6N;20165;1373
17;C;H;6Q;19052;1232
17;C;F;T;21237;2147
17;C;F;3;54520;24
17;C;F;4;17701;155
17;C;F;5;21268;1520
17;C;F;6N;20557;295
17;C;F;6Q;20694;153
17;N;E;T;23351;4820
17;N;E;3;55298;172
17;N;E;4;28755;405
17;N;E;5;21544;3431
17;N;E;6N;21706;508
17;N;E;6Q;21249;303
17;N;H;T;24279;2379
17;N;H;3;57375;88
17;N;H;4;34915;261
17;N;H;5;21477;1463
17;N;H;6N;21676;325
17;N;H;6Q;21165;242
17;N;F;T;22447;2441
17;N;F;3;53090;83
17;N;F;4;17664;145
17;N;F;5;21594;1968
17;N;F;6N;21758;184
17;N;F;6Q;21579;61
20;T;E;T;22971;285459
20;T;E;3;33584;1162
20;T;E;4;25079;16982
20;T;E;5;22589;145901
20;T;E;6N;23019;58226
20;T;E;6Q;23048;63188
20;T;H;T;23147;164784
20;T;H;3;30364;671
20;T;H;4;28252;9245
20;T;H;5;22457;55032
20;T;H;6N;23004;44175
20;T;H;6Q;23008;55660
20;T;F;T;22732;120676
20;T;F;3;37990;491
20;T;F;4;21287;7736
20;T;F;5;22669;90869
20;T;F;6N;23067;14051
20;T;F;6Q;23344;7528
20;C;E;T;22835;191565
20;C;E;3;25765;642
20;C;E;4;25953;12214
20;C;E;5;22358;80566
20;C;E;6N;22831;44483
20;C;E;6Q;22811;53660
20;C;H;T;23031;123145
20;C;H;3;26107;412
20;C;H;4;29361;7198
20;C;H;5;22232;32713
20;C;H;6N;22785;34793
20;C;H;6Q;22779;48028
20;C;F;T;22482;68421
20;C;F;3;25150;229
20;C;F;4;21061;5016
20;C;F;5;22444;47854
20;C;F;6N;22996;9690
20;C;F;6Q;23080;5632
20;N;E;T;23249;93894
20;N;E;3;43224;521
20;N;E;4;22839;4767
20;N;E;5;22875;65334
20;N;E;6N;23628;13743
20;N;E;6Q;24385;9529
20;N;H;T;23489;41639
20;N;H;3;37139;259
20;N;H;4;24348;2047
20;N;H;5;22787;22319
20;N;H;6N;23814;9382
20;N;H;6Q;24448;7633
20;N;F;T;23058;52255
20;N;F;3;49252;261
20;N;F;4;21703;2721
20;N;F;5;22921;43015
20;N;F;6N;23227;4361
20;N;F;6Q;24128;1896
25;T;E;T;26709;1420549
25;T;E;3;37220;114913
25;T;E;4;30108;250392
25;T;E;5;24311;562221
25;T;E;6N;23644;182991
25;T;E;6Q;26226;310032
25;T;H;T;27295;814040
25;T;H;3;37545;68482
25;T;H;4;31762;129030
25;T;H;5;24579;201635
25;T;H;6N;23938;139674
25;T;H;6Q;26344;275219
25;T;F;T;25923;606509
25;T;F;3;36740;46430
25;T;F;4;28350;121361
25;T;F;5;24162;360586
25;T;F;6N;22695;43317
25;T;F;6Q;25296;34814
25;C;E;T;27128;1180866
25;C;E;3;37126;108089
25;C;E;4;30397;225958
25;C;E;5;24575;418724
25;C;E;6N;23651;148446
25;C;E;6Q;26291;279649
25;C;H;T;27640;706532
25;C;H;3;37604;64826
25;C;H;4;32055;119174
25;C;H;5;24869;156155
25;C;H;6N;23931;116210
25;C;H;6Q;26407;250168
25;C;F;T;26365;474333
25;C;F;3;36409;43263
25;C;F;4;28546;106784
25;C;F;5;24399;262569
25;C;F;6N;22640;32235
25;C;F;6Q;25305;29482
25;N;E;T;24647;239683
25;N;E;3;38712;6824
25;N;E;4;27441;24434
25;N;E;5;23543;143497
25;N;E;6N;23614;34545
25;N;E;6Q;25629;30383
25;N;H;T;25027;107508
25;N;H;3;36494;3657
25;N;H;4;28224;9857
25;N;H;5;23581;45480
25;N;H;6N;23973;23464
25;N;H;6Q;25710;25051
25;N;F;T;24338;132175
25;N;F;3;41272;3167
25;N;F;4;26912;14577
25;N;F;5;23526;98017
25;N;F;6N;22854;11082
25;N;F;6Q;25248;5332
30;T;E;T;33110;2023645
30;T;E;3;47695;432399
30;T;E;4;34795;437657
30;T;E;5;26779;583707
30;T;E;6N;24369;177748
30;T;E;6Q;28533;392134
30;T;H;T;33938;1163055
30;T;H;3;48536;251279
30;T;H;4;37102;220279
30;T;H;5;27567;206153
30;T;H;6N;24878;134575
30;T;H;6Q;28715;350769
30;T;F;T;31990;860590
30;T;F;3;46529;181120
30;T;F;4;32456;217379
30;T;F;5;26348;377554
30;T;F;6N;22782;43173
30;T;F;6Q;26992;41365
30;C;E;T;33779;1803904
30;C;E;3;47880;408855
30;C;E;4;35080;403182
30;C;E;5;27352;484326
30;C;E;6N;24622;145668
30;C;E;6Q;28687;361873
30;C;H;T;34442;1066002
30;C;H;3;48785;238397
30;C;H;4;37346;208440
